capacity_bytes,smart_1_raw,smart_4_raw,smart_5_raw,smart_7_raw,smart_9_raw,smart_12_raw,smart_190_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_240_raw,smart_241_raw,smart_242_raw,model
16000900661248,107871400.0,11.0,72.0,302608247.0,25765.0,11.0,39.0,9.0,1752.0,39.0,25479.0,119113824536.0,407118863117.0,ST16000NM001G
10000831348736,70546920.0,25.0,9264.0,552188053.0,57823.0,24.0,22.0,793.0,2736.0,22.0,57543.0,122497147432.0,555298588738.0,ST10000NM0086
8001563222016,0.0,22.0,7.0,0.0,56364.0,22.0,0.0,12832.0,12832.0,39.0,0.0,0.0,0.0,HGST HUH728080ALE600
500107862016,0.0,43.0,0.0,0.0,54337.0,43.0,0.0,33.0,1127.0,25.0,0.0,0.0,0.0,TOSHIBA MQ01ABF050
12000138625024,0.0,10.0,0.0,0.0,43338.0,10.0,0.0,1727.0,1727.0,39.0,0.0,0.0,0.0,HGST HUH721212ALN604
14000519643136,53845960.0,13.0,1080.0,13194991217.0,30143.0,13.0,40.0,2.0,3689.0,40.0,29538.0,135834147512.0,461388468472.0,ST14000NM001G
16000900661248,30822656.0,3.0,0.0,60784887.0,2135.0,2.0,23.0,1.0,291.0,23.0,1980.0,6032356000.0,17680199590.0,ST16000NM001G
16000900661248,0.0,13.0,7164.0,0.0,6802.0,13.0,0.0,12.0,47.0,21.0,0.0,0.0,0.0,TOSHIBA MG08ACA16TA
12000138625024,177590154.0,27.0,1320.0,905331244.0,35588.0,24.0,32.0,2.0,3179.0,32.0,34891.0,115789951528.0,707631219572.0,ST12000NM0008
12000138625024,53723104.0,7.0,8.0,311924744.0,34506.0,7.0,33.0,1.0,1928.0,33.0,34213.0,114681243792.0,680051519822.0,ST12000NM0008
12000138625024,104158928.0,6.0,32.0,182644288.0,32984.0,6.0,27.0,2.0,1600.0,27.0,32784.0,81593416560.0,380428091057.0,ST12000NM0008
12000138625024,0.0,22.0,2.0,0.0,44396.0,21.0,0.0,1630.0,1630.0,30.0,0.0,0.0,0.0,HGST HUH721212ALN604
12000138625024,79941016.0,15.0,176.0,719904617.0,37062.0,15.0,35.0,2.0,10382.0,35.0,35081.0,123575580928.0,464884239218.0,ST12000NM0008
12000138625024,236716472.0,4.0,0.0,427938376.0,34181.0,4.0,32.0,0.0,2637.0,32.0,33769.0,117260692960.0,415692111014.0,ST12000NM0008
14000519643136,0.0,66.0,0.0,0.0,2002.0,65.0,0.0,64.0,72.0,38.0,0.0,31121991024.0,17722547010.0,TOSHIBA MG07ACA14TEY
16000900661248,0.0,23.0,0.0,0.0,22586.0,23.0,0.0,22.0,74.0,37.0,0.0,0.0,0.0,TOSHIBA MG08ACA16TE
12000138625024,0.0,11.0,2.0,0.0,24738.0,11.0,0.0,844.0,844.0,37.0,0.0,0.0,0.0,HGST HUH721212ALE604
